v2	V(vout)
1.680000000000001e-01	1.140347e-01
1.690000000000001e-01	1.160798e-01
1.700000000000001e-01	1.180785e-01
1.710000000000001e-01	1.200333e-01
1.720000000000001e-01	1.219460e-01
1.730000000000001e-01	1.238190e-01
1.740000000000001e-01	1.256540e-01
1.750000000000001e-01	1.274531e-01
1.760000000000001e-01	1.292182e-01
1.770000000000001e-01	1.309508e-01
1.780000000000001e-01	1.326526e-01
1.790000000000001e-01	1.343253e-01
1.800000000000001e-01	1.359701e-01
1.810000000000001e-01	1.375887e-01
1.820000000000001e-01	1.391821e-01
1.830000000000001e-01	1.407517e-01
1.840000000000001e-01	1.422986e-01
1.850000000000001e-01	1.438238e-01
1.860000000000001e-01	1.453285e-01
1.870000000000001e-01	1.468135e-01
1.880000000000001e-01	1.482798e-01
1.890000000000001e-01	1.497282e-01
1.900000000000001e-01	1.511596e-01
1.910000000000001e-01	1.525746e-01
1.920000000000001e-01	1.539740e-01
1.930000000000001e-01	1.553586e-01
1.940000000000001e-01	1.567288e-01
1.950000000000001e-01	1.580855e-01
1.960000000000001e-01	1.594290e-01
1.970000000000001e-01	1.607600e-01
1.980000000000001e-01	1.620790e-01
1.990000000000001e-01	1.633864e-01
2.000000000000001e-01	1.646828e-01
2.010000000000002e-01	1.659686e-01
2.020000000000002e-01	1.672442e-01
2.030000000000002e-01	1.685100e-01
2.040000000000002e-01	1.697664e-01
2.050000000000002e-01	1.710137e-01
2.060000000000002e-01	1.722523e-01
2.070000000000002e-01	1.734825e-01
2.080000000000002e-01	1.747046e-01
2.090000000000002e-01	1.759190e-01
2.100000000000002e-01	1.771259e-01
2.110000000000002e-01	1.783256e-01
2.120000000000002e-01	1.795183e-01
2.130000000000002e-01	1.807044e-01
2.140000000000002e-01	1.818839e-01
2.150000000000002e-01	1.830573e-01
2.160000000000002e-01	1.842246e-01
2.170000000000002e-01	1.853862e-01
2.180000000000002e-01	1.865421e-01
2.190000000000002e-01	1.876926e-01
2.200000000000002e-01	1.888379e-01
2.210000000000002e-01	1.899781e-01
2.220000000000002e-01	1.911134e-01
2.230000000000002e-01	1.922441e-01
2.240000000000002e-01	1.933701e-01
2.250000000000002e-01	1.944918e-01
2.260000000000002e-01	1.956092e-01
2.270000000000002e-01	1.967224e-01
2.280000000000002e-01	1.978317e-01
2.290000000000002e-01	1.989371e-01
2.300000000000002e-01	2.000387e-01
2.310000000000002e-01	2.011367e-01
2.320000000000002e-01	2.022312e-01
2.330000000000002e-01	2.033224e-01
2.340000000000002e-01	2.044102e-01
2.350000000000002e-01	2.054948e-01
2.360000000000002e-01	2.065764e-01
2.370000000000002e-01	2.076549e-01
2.380000000000002e-01	2.087306e-01
2.390000000000002e-01	2.098034e-01
2.400000000000002e-01	2.108735e-01
2.410000000000002e-01	2.119410e-01
2.420000000000002e-01	2.130059e-01
2.430000000000002e-01	2.140683e-01
2.440000000000002e-01	2.151282e-01
2.450000000000002e-01	2.161859e-01
2.460000000000002e-01	2.172413e-01
2.470000000000002e-01	2.182944e-01
2.480000000000002e-01	2.193455e-01
2.490000000000002e-01	2.203944e-01
2.500000000000002e-01	2.214413e-01
2.510000000000002e-01	2.224863e-01
2.520000000000002e-01	2.235294e-01
2.530000000000002e-01	2.245706e-01
2.540000000000002e-01	2.256100e-01
2.550000000000002e-01	2.266477e-01
2.560000000000002e-01	2.276837e-01
2.570000000000002e-01	2.287180e-01
2.580000000000002e-01	2.297508e-01
2.590000000000002e-01	2.307820e-01
2.600000000000002e-01	2.318116e-01
2.610000000000002e-01	2.328399e-01
2.620000000000002e-01	2.338666e-01
2.630000000000002e-01	2.348921e-01
2.640000000000002e-01	2.359161e-01
2.650000000000002e-01	2.369388e-01
2.660000000000002e-01	2.379603e-01
2.670000000000002e-01	2.389806e-01
2.680000000000002e-01	2.399996e-01
2.690000000000002e-01	2.410174e-01
2.700000000000002e-01	2.420342e-01
2.710000000000002e-01	2.430498e-01
2.720000000000002e-01	2.440643e-01
2.730000000000002e-01	2.450778e-01
2.740000000000002e-01	2.460902e-01
2.750000000000002e-01	2.471017e-01
2.760000000000002e-01	2.481122e-01
2.770000000000002e-01	2.491217e-01
2.780000000000002e-01	2.501304e-01
2.790000000000002e-01	2.511381e-01
2.800000000000002e-01	2.521450e-01
2.810000000000002e-01	2.531510e-01
2.820000000000002e-01	2.541562e-01
2.830000000000002e-01	2.551606e-01
2.840000000000002e-01	2.561643e-01
2.850000000000002e-01	2.571671e-01
2.860000000000002e-01	2.581693e-01
2.870000000000002e-01	2.591707e-01
2.880000000000002e-01	2.601714e-01
2.890000000000002e-01	2.611714e-01
2.900000000000002e-01	2.621707e-01
2.910000000000002e-01	2.631694e-01
2.920000000000002e-01	2.641675e-01
2.930000000000002e-01	2.651650e-01
2.940000000000002e-01	2.661618e-01
2.950000000000002e-01	2.671581e-01
2.960000000000002e-01	2.681538e-01
2.970000000000002e-01	2.691489e-01
2.980000000000002e-01	2.701435e-01
2.990000000000002e-01	2.711376e-01
3.000000000000002e-01	2.721311e-01
3.010000000000002e-01	2.731242e-01
3.020000000000002e-01	2.741167e-01
3.030000000000002e-01	2.751088e-01
3.040000000000002e-01	2.761004e-01
3.050000000000002e-01	2.770916e-01
3.060000000000002e-01	2.780823e-01
3.070000000000002e-01	2.790726e-01
3.080000000000002e-01	2.800624e-01
3.090000000000002e-01	2.810519e-01
3.100000000000002e-01	2.820409e-01
3.110000000000002e-01	2.830296e-01
3.120000000000002e-01	2.840179e-01
3.130000000000002e-01	2.850057e-01
3.140000000000002e-01	2.859933e-01
3.150000000000002e-01	2.869805e-01
3.160000000000002e-01	2.879673e-01
3.170000000000002e-01	2.889538e-01
3.180000000000002e-01	2.899400e-01
3.190000000000002e-01	2.909258e-01
3.200000000000002e-01	2.919113e-01
3.210000000000002e-01	2.928965e-01
3.220000000000002e-01	2.938815e-01
3.230000000000002e-01	2.948661e-01
3.240000000000002e-01	2.958504e-01
3.250000000000002e-01	2.968345e-01
3.260000000000002e-01	2.978183e-01
3.270000000000002e-01	2.988018e-01
3.280000000000002e-01	2.997851e-01
3.290000000000002e-01	3.007681e-01
3.300000000000002e-01	3.017508e-01
3.310000000000002e-01	3.027334e-01
3.320000000000002e-01	3.037156e-01
3.330000000000002e-01	3.046977e-01
3.340000000000002e-01	3.056795e-01
3.350000000000002e-01	3.066611e-01
3.360000000000002e-01	3.076425e-01
3.370000000000002e-01	3.086237e-01
3.380000000000002e-01	3.096046e-01
3.390000000000002e-01	3.105854e-01
3.400000000000002e-01	3.115660e-01
3.410000000000002e-01	3.125464e-01
3.420000000000002e-01	3.135266e-01
3.430000000000002e-01	3.145066e-01
3.440000000000003e-01	3.154865e-01
3.450000000000003e-01	3.164661e-01
3.460000000000003e-01	3.174456e-01
3.470000000000003e-01	3.184250e-01
3.480000000000003e-01	3.194041e-01
3.490000000000003e-01	3.203832e-01
3.500000000000003e-01	3.213620e-01
3.510000000000003e-01	3.223408e-01
3.520000000000003e-01	3.233193e-01
3.530000000000003e-01	3.242978e-01
3.540000000000003e-01	3.252760e-01
3.550000000000003e-01	3.262542e-01
3.560000000000003e-01	3.272322e-01
3.570000000000003e-01	3.282101e-01
3.580000000000003e-01	3.291879e-01
3.590000000000003e-01	3.301656e-01
3.600000000000003e-01	3.311431e-01
3.610000000000003e-01	3.321205e-01
3.620000000000003e-01	3.330978e-01
3.630000000000003e-01	3.340751e-01
3.640000000000003e-01	3.350522e-01
3.650000000000003e-01	3.360292e-01
3.660000000000003e-01	3.370061e-01
3.670000000000003e-01	3.379829e-01
3.680000000000003e-01	3.389596e-01
3.690000000000003e-01	3.399363e-01
3.700000000000003e-01	3.409128e-01
3.710000000000003e-01	3.418893e-01
3.720000000000003e-01	3.428657e-01
3.730000000000003e-01	3.438420e-01
3.740000000000003e-01	3.448183e-01
3.750000000000003e-01	3.457945e-01
3.760000000000003e-01	3.467706e-01
3.770000000000003e-01	3.477466e-01
3.780000000000003e-01	3.487226e-01
3.790000000000003e-01	3.496986e-01
3.800000000000003e-01	3.506745e-01
3.810000000000003e-01	3.516503e-01
3.820000000000003e-01	3.526261e-01
3.830000000000003e-01	3.536018e-01
3.840000000000003e-01	3.545775e-01
3.850000000000003e-01	3.555532e-01
3.860000000000003e-01	3.565288e-01
3.870000000000003e-01	3.575044e-01
3.880000000000003e-01	3.584800e-01
3.890000000000003e-01	3.594555e-01
