Title: *include sf.spice
Date: Wed Oct 11 20:10:01  2023
Plotname: Transient Analysis
Flags: real
No. Variables: 2
No. Points: 1129
Variables:
	0	time	time
	1	v(vout)	voltage
Values:
 182	1.535000000000000e-07
	1.791057759607209e+00

 183	1.540000000000000e-07
	1.789520490388312e+00

 184	1.540736988058450e-07
	1.789509610538260e+00

 185	1.542210964175350e-07
	1.789487760702513e+00

 186	1.545158916409150e-07
	1.789444062825234e+00

 187	1.551054820876749e-07
	1.789356674804694e+00

 188	1.561054820876749e-07
	1.789208479601206e+00

 189	1.571054820876749e-07
	1.789060313293757e+00

 190	1.581054820876749e-07
	1.788912175457874e+00

 191	1.591054820876749e-07
	1.788764065984383e+00

 192	1.601054820876749e-07
	1.788615984458068e+00

 193	1.611054820876749e-07
	1.788467930778766e+00

 194	1.621054820876749e-07
	1.788319904540142e+00

 195	1.631054820876749e-07
	1.788171905650680e+00

 196	1.641054820876749e-07
	1.788023933712567e+00

 197	1.651054820876749e-07
	1.787875988642582e+00

 198	1.661054820876749e-07
	1.787728070051089e+00

 199	1.671054820876749e-07
	1.787580177862822e+00

 200	1.681054820876749e-07
	1.787432311695997e+00

 201	1.691054820876749e-07
	1.787284471482985e+00

 202	1.701054820876748e-07
	1.787136656849533e+00

 203	1.711054820876748e-07
	1.786988867735342e+00

 204	1.721054820876748e-07
	1.786841103773389e+00

 205	1.731054820876748e-07
	1.786693364910408e+00

 206	1.741054820876748e-07
	1.786545650786323e+00

 207	1.751054820876748e-07
	1.786397961354618e+00

 208	1.761054820876748e-07
	1.786250296261886e+00

 209	1.771054820876748e-07
	1.786102655468090e+00

 210	1.781054820876748e-07
	1.785955038626227e+00

 211	1.791054820876748e-07
	1.785807445702483e+00

 212	1.801054820876748e-07
	1.785659876356006e+00

 213	1.811054820876748e-07
	1.785512330558956e+00

 214	1.821054820876748e-07
	1.785364807976391e+00

 215	1.831054820876748e-07
	1.785217308586210e+00

 216	1.841054820876748e-07
	1.785069832059147e+00

 217	1.851054820876748e-07
	1.784922378378612e+00

 218	1.861054820876748e-07
	1.784774947220793e+00

 219	1.871054820876748e-07
	1.784627538574396e+00

 220	1.881054820876748e-07
	1.784480152120854e+00

 221	1.891054820876748e-07
	1.784332787853957e+00

 222	1.901054820876748e-07
	1.784185445460175e+00

 223	1.911054820876748e-07
	1.784038124938186e+00

 224	1.921054820876748e-07
	1.783890825979307e+00

 225	1.931054820876747e-07
	1.783743548586912e+00

 226	1.941054820876747e-07
	1.783596292456973e+00

 227	1.951054820876747e-07
	1.783449057597377e+00

 228	1.961054820876747e-07
	1.783301843708578e+00

 229	1.971054820876747e-07
	1.783154650802802e+00

 230	1.981054820876747e-07
	1.783007478584809e+00

 231	1.991054820876747e-07
	1.782860327070994e+00

 232	2.000000000000000e-07
	1.782728714701164e+00

 233	2.001000000000000e-07
	1.783006658299870e+00

 234	2.003000000000000e-07
	1.783562456962195e+00

 235	2.007000000000000e-07
	1.784674056960362e+00

 236	2.015000000000000e-07
	1.786944759132228e+00

 237	2.020000000000000e-07
	1.794508999623145e+00

 238	2.021000000000000e-07
	1.795114836645069e+00

 239	2.023000000000000e-07
	1.796188915461664e+00

 240	2.027000000000000e-07
	1.797681406173206e+00

 241	2.035000000000000e-07
	1.799158405070611e+00

 242	2.045000000000000e-07
	1.799718259522566e+00

 243	2.055000000000000e-07
	1.799845529864357e+00

 244	2.065000000000000e-07
	1.799874541435417e+00

 245	2.075000000000000e-07
	1.799881167451255e+00

 246	2.085000000000000e-07
	1.799882696652324e+00

 247	2.095000000000000e-07
	1.799883054931679e+00

 248	2.105000000000000e-07
	1.799883145578496e+00

 249	2.115000000000000e-07
	1.799883175061984e+00

 250	2.125000000000000e-07
	1.799883190508054e+00

 251	2.135000000000000e-07
	1.799883202668945e+00

 252	2.145000000000000e-07
	1.799883214000133e+00

 253	2.155000000000000e-07
	1.799883225061827e+00

 254	2.165000000000000e-07
	1.799883235984240e+00

 255	2.175000000000000e-07
	1.799883246797058e+00

 256	2.185000000000000e-07
	1.799883257509415e+00

 257	2.194999999999999e-07
	1.799883268123331e+00

 258	2.204999999999999e-07
	1.799883278641579e+00

 259	2.214999999999999e-07
	1.799883289064689e+00

 260	2.224999999999999e-07
	1.799883299395053e+00

 261	2.234999999999999e-07
	1.799883309633068e+00

 262	2.244999999999999e-07
	1.799883319781056e+00

 263	2.254999999999999e-07
	1.799883329839360e+00

 264	2.264999999999999e-07
	1.799883339810251e+00

 265	2.274999999999999e-07
	1.799883349694018e+00

 266	2.284999999999999e-07
	1.799883359492884e+00

 267	2.294999999999999e-07
	1.799883369207094e+00

 268	2.304999999999999e-07
	1.799883378838820e+00

 269	2.314999999999999e-07
	1.799883388388264e+00

 270	2.324999999999999e-07
	1.799883397857553e+00

 271	2.334999999999999e-07
	1.799883407246841e+00

 272	2.344999999999999e-07
	1.799883416558214e+00

 273	2.354999999999999e-07
	1.799883425791787e+00

 274	2.364999999999999e-07
	1.799883434949604e+00

 275	2.374999999999999e-07
	1.799883444031738e+00

 276	2.384999999999999e-07
	1.799883453040191e+00

 277	2.394999999999999e-07
	1.799883461975001e+00

 278	2.404999999999999e-07
	1.799883470838133e+00

 279	2.414999999999999e-07
	1.799883479629584e+00

 280	2.425000000000000e-07
	1.799883488351285e+00

 281	2.435000000000000e-07
	1.799883497003198e+00

 282	2.445000000000000e-07
	1.799883505587217e+00

 283	2.455000000000000e-07
	1.799883514103271e+00

 284	2.465000000000000e-07
	1.799883522553221e+00

 285	2.475000000000001e-07
	1.799883530936963e+00

 286	2.485000000000001e-07
	1.799883539256326e+00

 287	2.495000000000001e-07
	1.799883547511175e+00

 288	2.505000000000001e-07
	1.799883555703307e+00

 289	2.515000000000002e-07
	1.799883563832558e+00

 290	2.520000000000000e-07
	1.799883567874376e+00

 291	2.521000000000000e-07
	1.798105890499515e+00

 292	2.523000000000001e-07
	1.795314182589892e+00

 293	2.527000000000000e-07
	1.793523749744790e+00

 294	2.535000000000000e-07
	1.791061041156267e+00

 295	2.540000000000000e-07
	1.789524506034204e+00

 296	2.540736988962555e-07
	1.789513734010305e+00

 297	2.542210966887663e-07
	1.789492099676635e+00

 298	2.545158922737881e-07
	1.789448831903278e+00

 299	2.551054834438315e-07
	1.789362300509904e+00

 300	2.561054834438315e-07
	1.789215547596763e+00

 301	2.571054834438315e-07
	1.789068810143779e+00

 302	2.581054834438316e-07
	1.788922087928973e+00

 303	2.591054834438316e-07
	1.788775381041721e+00

 304	2.601054834438316e-07
	1.788628689261499e+00

 305	2.611054834438316e-07
	1.788482012679065e+00

 306	2.621054834438316e-07
	1.788335351075304e+00

 307	2.631054834438317e-07
	1.788188704542306e+00

 308	2.641054834438317e-07
	1.788042072862323e+00

 309	2.651054834438317e-07
	1.787895456128732e+00

 310	2.661054834438317e-07
	1.787748854125106e+00

 311	2.671054834438318e-07
	1.787602266946070e+00

 312	2.681054834438318e-07
	1.787455694376477e+00

 313	2.691054834438318e-07
	1.787309136512159e+00

 314	2.701054834438318e-07
	1.787162593139211e+00

 315	2.711054834438318e-07
	1.787016064354629e+00

 316	2.721054834438319e-07
	1.786869549945711e+00

 317	2.731054834438319e-07
	1.786723050010585e+00

 318	2.741054834438319e-07
	1.786576564337714e+00

