time,V(vout)
5.85883E-10,1.799934
5.86553E-10,1.799937
5.87139E-10,1.799939
5.88813E-10,1.799945
5.90487E-10,1.79995
5.92161E-10,1.799955
5.93835E-10,1.79996
5.95509E-10,1.799964
5.97183E-10,1.799967
5.98858E-10,1.79997
5.99443E-10,1.799971
6E-10,1.799972
