time	V(clk_amp)	V(clk_double)	V(clk_load)	V(clk_sample)	V(comp_out)
3.944338487220403e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.945117187500000e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.946674588059195e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.947306420526441e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.948315113420677e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.949312611048123e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.950000000000000e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
3.950001861301789e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950005583905366e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950006494841908e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950007632774756e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950009908640450e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950014460371840e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950019822835417e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950026567405933e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950034295376651e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950044925095795e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950058599003342e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950079383527934e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950111426618922e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950175512800898e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950303685164850e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950476784507710e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950663031562322e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.950865508997626e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.951103618341861e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.951405711170437e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.951752825504799e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.952278154739536e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.953157175737443e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
