time,V(clk_amp),V(clk_double),V(clk_load),V(clk_sample),V(comp_out)
3.65234E-09,0,0,0,3,1.00515E-09
3.91872E-09,0,0,0,3,1.00515E-09
4.45148E-09,0,0,0,3,1.00515E-09
5.51008E-09,0,0,0,3,1.00515E-09
6.58367E-09,0,0,0,3,1.00515E-09
7.64656E-09,0,0,0,3,1.00515E-09
8.61525E-09,0,0,0,3,1.00515E-09
9.99155E-09,0,0,0,3,1.00515E-09
1.14137E-08,0,0,0,3,1.00515E-09
1.29616E-08,0,0,0,3,1.00515E-09
1.31642E-08,0,0,0,3,1.00515E-09
1.35695E-08,0,0,0,3,1.00515E-09
1.36207E-08,0,0,0,3,1.00515E-09
1.36335E-08,0,0,0,3,1.00515E-09
1.36591E-08,0,0,0,3,1.00515E-09
1.36655E-08,0,0,0,3,1.00515E-09
1.36784E-08,0,0,0,3,1.00515E-09
1.3704E-08,0,0,0,3,1.00515E-09
1.37552E-08,0,0,0,3,1.00515E-09
1.38577E-08,0,0,0,3,1.00515E-09
1.40627E-08,0,0,0,3,1.00515E-09
1.44726E-08,0,0,0,3,1.00515E-09
1.49905E-08,0,0,0,3,1.00515E-09
1.57868E-08,0,0,0,3,1.00515E-09
1.72829E-08,0,0,0,3,1.00515E-09
1.96919E-08,0,0,0,3,1.00515E-09
2.23266E-08,0,0,0,3,1.00515E-09
2.53761E-08,0,0,0,3,1.00515E-09
2.9075E-08,0,0,0,3,1.00515E-09
3.31539E-08,0,0,0,3,1.00515E-09
3.7469E-08,0,0,0,3,1.00515E-09
4.23518E-08,0,0,0,3,1.00515E-09
4.72346E-08,0,0,0,3,1.00515E-09
5.21174E-08,0,0,0,3,1.00515E-09
5.70002E-08,0,0,0,3,1.00515E-09
6.18831E-08,0,0,0,3,1.00515E-09
6.67659E-08,0,0,0,3,1.00515E-09
7.65315E-08,0,0,0,3,1.00515E-09
8.62971E-08,0,0,0,3,1.00515E-09
9.51172E-08,0,0,0,3,1.00515E-09
1E-07,0,0,0,3,1.00515E-09
1.01304E-07,0,0,0,0,1.00515E-09
1.01869E-07,0,0,0,0,1.00515E-09
1.03734E-07,0,0,0,0,1.00515E-09
1.95117E-07,0,0,0,0,1.00515E-09
0.0000002,0,0,0,0,1.00515E-09
2E-07,0.03000005,0,0,0,5.6205E-08
2.00125E-07,3,0,0,0,-3.33863E-06
2.0025E-07,3,0,0,0,-2.59477E-05
2.00375E-07,3,0,0,0,-9.15499E-05
2.005E-07,3,0,0,0,-0.00020584
2.00519E-07,3,0,0,0,-0.000230981
2.00557E-07,3,0,0,0,-0.000287221
2.00632E-07,3,0,0,0,0.000306057
2.00728E-07,3,0,0,0,0.02159108
2.00836E-07,3,0,0,0,0.09404947
2.00848E-07,3,0,0,0,0.1164995
2.00873E-07,3,0,0,0,0.2088139
2.00901E-07,3,0,0,0,0.376977
2.00922E-07,3,0,0,0,0.5340547
2.00926E-07,3,0,0,0,0.5674207
2.00935E-07,3,0,0,0,0.635589
2.00951E-07,3,0,0,0,0.7796474
2.00954E-07,3,0,0,0,0.8084728
2.0096E-07,3,0,0,0,0.8796824
2.00968E-07,3,0,0,0,1.017459
2.00975E-07,3,0,0,0,1.150892
2.00979E-07,3,0,0,0,1.285506
2.00984E-07,3,0,0,0,1.473542
2.00989E-07,3,0,0,0,1.663069
2.00992E-07,3,0,0,0,1.733855
2.00995E-07,3,0,0,0,1.775763
2.00998E-07,3,0,0,0,1.788681
2.01001E-07,3,0,0,0,1.793982
2.01006E-07,3,0,0,0,1.797124
2.01012E-07,3,0,0,0,1.798796
2.01019E-07,3,0,0,0,1.79933
2.01028E-07,3,0,0,0,1.79959
2.01041E-07,3,0,0,0,1.799914
2.0106E-07,3,0,0,0,1.800132
2.01086E-07,3,0,0,0,1.800184
2.01128E-07,3,0,0,0,1.800182
2.01211E-07,3,0,0,0,1.800169
2.01378E-07,3,0,0,0,1.800143
